date_normal,cnt,date,Unnamed: 0,open,high,low,close,volume,marketCap,timestamp,crypto_name,vol_year,3_day_MA,price_change
2017-09-23,1,2017-09-23,10968,3629.919921875,3819.2099609375,3594.580078125,3792.3999023438,928113984.0,62892069388.8,2017-09-23T23:59:59.999Z,Bitcoin,0.9356575542078004,3684.713297526067,0.044536853319346204
2017-09-29,1,2017-09-29,11065,4171.6201171875,4214.6298828125,4039.2900390625,4163.0698242188,1367049984.0,69086146650.0,2017-09-29T23:59:59.999Z,Bitcoin,1.0271089099326054,4179.489908854201,-0.0027930324367207993
2017-10-17,1,2017-10-17,11359,5741.580078125,5800.3500976563,5472.7202148438,5605.509765625,1821570048.0,93218297188.6,2017-10-17T23:59:59.999Z,Bitcoin,1.3829864182179692,5669.763183593767,-0.02097252534707461
2017-10-31,2,2017-10-31,11600,6132.0200195313,6470.4301757813,6103.330078125,6468.3999023438,2311379968.0,107743731291.0,2017-10-31T23:59:59.999Z,Bitcoin,1.5958779105875824,6250.926595052134,0.055112711140491655
2017-11-09,1,2017-11-09,11754,7446.830078125,7446.830078125,7101.5200195313,7143.580078125,3226249984.0,119104730750.0,2017-11-09T23:59:59.999Z,Bitcoin,1.7624577671925254,7249.2166341146,-0.042375737566071936
2017-11-12,1,2017-11-12,11798,6295.4501953125,6625.0498046875,5519.009765625,5950.0698242188,8957349888.0,99226193603.2,2017-11-12T23:59:59.999Z,Bitcoin,1.467995971535995,6308.603352864634,-0.06410127519466569
2017-11-13,1,2017-11-13,11818,5938.25,6811.1899414063,5844.2900390625,6559.490234375,6263249920.0,109400650105.0,2017-11-13T23:59:59.999Z,Bitcoin,1.6183516368493132,6289.053385416701,0.10242239640208117
2017-11-14,1,2017-11-14,11841,6561.4799804688,6764.9799804688,6461.75,6635.75,3197110016.0,110683148744.0,2017-11-14T23:59:59.999Z,Bitcoin,1.6371663788666435,6381.770019531267,0.011625867697059977
2017-11-20,1,2017-11-20,11940,8039.0698242188,8336.8603515625,7949.3598632813,8200.6396484375,3488450048.0,136881802624.0,2017-11-20T23:59:59.999Z,Bitcoin,2.023254570715088,8009.093261718767,0.020425510300550398
2017-11-23,1,2017-11-23,11995,8232.3798828125,8267.400390625,8038.7700195313,8038.7700195313,4225179904.0,134227860479.0,2017-11-23T23:59:59.999Z,Bitcoin,1.9833182388453146,8121.1931966146,-0.02602271631464781
2017-11-27,1,2017-11-27,12073,9352.7197265625,9818.349609375,9352.7197265625,9818.349609375,5653320192.0,164019464090.0,2017-11-27T23:59:59.999Z,Bitcoin,2.4223745434091386,9313.273111979166,0.052279856482030373
2017-11-28,1,2017-11-28,12077,9823.4296875,10125.7001953125,9736.2998046875,10058.7998046875,6348819968.0,168056012886.0,2017-11-28T23:59:59.999Z,Bitcoin,2.4816982032151205,9735.899739583334,0.024489879142509663
2017-12-01,2,2017-12-01,12133,10198.599609375,11046.7001953125,9694.650390625,10975.599609375,6783119872.0,183444663767.0,2017-12-01T23:59:59.999Z,Bitcoin,2.7078902412493866,10365.9365234375,0.07250625667631683
2017-12-04,1,2017-12-04,12189,11315.400390625,11657.2001953125,11081.7998046875,11657.2001953125,6132409856.0,194912755450.0,2017-12-04T23:59:59.999Z,Bitcoin,2.876054135777161,11351.666666666666,0.02949696148075409
2017-12-05,1,2017-12-05,12215,11685.7001953125,12032.0,11604.599609375,11916.7001953125,6895260160.0,199278350420.0,2017-12-05T23:59:59.999Z,Bitcoin,2.940077746569595,11632.366861979166,0.02226091991663215
2017-12-08,1,2017-12-08,12257,17802.900390625,18353.400390625,14336.900390625,16569.400390625,21135998976.0,277185764485.0,2017-12-08T23:59:59.999Z,Bitcoin,4.087987829184505,16253.533203125,-0.07431961911021989
2017-12-11,1,2017-12-11,12323,15427.400390625,17513.900390625,15404.7998046875,16936.80078125,12153900032.0,283439888520.0,2017-12-11T23:59:59.999Z,Bitcoin,4.178632529047176,15856.800455729166,0.09585001702858453
2017-12-13,1,2017-12-13,12352,17500.0,17653.099609375,16039.7001953125,16408.19921875,12976900096.0,274663619978.0,2017-12-13T23:59:59.999Z,Bitcoin,4.048216418443044,16920.133463541668,-0.05783393716386753
2017-12-15,3,2017-12-15,12396,16601.30078125,18154.099609375,16601.30078125,17706.900390625,14309999616.0,296482120238.0,2017-12-15T23:59:59.999Z,Bitcoin,4.3686308244692595,16893.033203125,0.06899905763251635
2017-12-16,1,2017-12-16,12410,17760.30078125,19716.69921875,17515.30078125,19497.400390625,12740599808.0,326502485530.0,2017-12-16T23:59:59.999Z,Bitcoin,4.810381402981217,17922.766927083332,0.10111877067699493
2017-12-18,1,2017-12-18,12442,19106.400390625,19371.0,18355.900390625,19114.19921875,14839499776.0,320174318520.0,2017-12-18T23:59:59.999Z,Bitcoin,4.715838348324841,19250.800130208332,-0.0013897831550526707
2017-12-19,2,2017-12-19,12463,19118.30078125,19177.80078125,17275.400390625,17776.69921875,16894499840.0,297801055828.0,2017-12-19T23:59:59.999Z,Bitcoin,4.385851529693317,18677.233072916668,-0.0699741582000456
2017-12-20,1,2017-12-20,12489,17760.30078125,17934.69921875,16077.7001953125,16624.599609375,22149699584.0,278528964015.0,2017-12-20T23:59:59.999Z,Bitcoin,4.101606531678904,17838.499348958332,-0.06480953495347552
2017-12-21,1,2017-12-21,12512,16642.400390625,17567.69921875,15342.7001953125,15802.900390625,16516599808.0,264788651530.0,2017-12-21T23:59:59.999Z,Bitcoin,3.898877626208009,16734.733072916668,-0.04942670729264509
2017-12-28,1,2017-12-28,12649,15864.099609375,15888.400390625,13937.2998046875,14606.5,12336499712.0,244929825575.0,2017-12-28T23:59:59.999Z,Bitcoin,3.6037027785729765,15514.933268229166,-0.07778514379518264
2018-01-02,1,2018-01-02,12728,13625.0,15444.599609375,13163.599609375,14982.099609375,16846600192.0,251377913955.0,2018-01-02T23:59:59.999Z,Bitcoin,6.101556227409604,14265.2333984375,0.0970110560814097
2018-01-04,1,2018-01-04,12773,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,21783199744.0,261795321110.0,2018-01-04T23:59:59.999Z,Bitcoin,6.352874401846847,15260.7666015625,0.026195657872015055
2018-01-05,2,2018-01-05,12790,15477.2001953125,17705.19921875,15202.7998046875,17429.5,23840899072.0,292544135538.0,2018-01-05T23:59:59.999Z,Bitcoin,7.098275744948949,16076.566731770834,0.11733292616101543
2018-01-08,1,2018-01-08,12857,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,18413899776.0,254715263101.0,2018-01-08T23:59:59.999Z,Bitcoin,6.178120434073615,16391.56640625,-0.07935014996092593
2018-01-10,2,2018-01-10,12886,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,18500800512.0,251472635522.0,2018-01-10T23:59:59.999Z,Bitcoin,6.097972450469727,14912.933268229166,0.025891678470515656
2018-01-11,2,2018-01-11,12897,14968.2001953125,15018.7998046875,13105.900390625,13405.7998046875,16534099968.0,225178724050.0,2018-01-11T23:59:59.999Z,Bitcoin,5.459598014587604,14324.833333333334,-0.10468634305373903
2018-01-13,1,2018-01-13,12944,13952.400390625,14659.5,13952.400390625,14360.2001953125,12763599872.0,241268592240.0,2018-01-13T23:59:59.999Z,Bitcoin,5.848283699417532,13915.533203125,0.02715195317395036
2018-01-15,1,2018-01-15,12977,13767.2998046875,14445.5,13641.7001953125,13819.7998046875,12750799872.0,232242775485.0,2018-01-15T23:59:59.999Z,Bitcoin,5.628202171815801,13984.0,0.0034707961579654167
2018-01-19,2,2018-01-19,13066,11429.7998046875,11992.7998046875,11172.099609375,11607.400390625,10740400128.0,195158837709.0,2018-01-19T23:59:59.999Z,Bitcoin,4.727188310317817,11423.633463541666,0.01154694119247024
2018-01-21,1,2018-01-21,13100,12889.2001953125,12895.900390625,11288.2001953125,11600.099609375,9935179776.0,195089460991.0,2018-01-21T23:59:59.999Z,Bitcoin,4.724215020294233,12035.566731770834,-0.10071171594108497
2018-01-23,3,2018-01-23,13146,10944.5,11377.599609375,10129.7001953125,10868.400390625,9660609536.0,182830257191.0,2018-01-23T23:59:59.999Z,Bitcoin,4.4262258171013,11133.300130208334,-0.005763214020962026
