id,code,name
350,FX,Function X
351,vUSDC,Venus USDC
352,SUN,Sun (New)
353,REP,Augur
354,FXS,Frax Share
355,DIVI,Divi
356,DAG,Constellation
357,METIS,MetisDAO
358,RAY,Raydium
359,FUN,FUNToken
360,CTC,Creditcoin
361,EWT,Energy Web Token
362,BICO,Biconomy
363,STMX,StormX
364,MOVR,Moonriver
365,HXRO,Hxro
366,ELF,aelf
367,NEST,NEST Protocol
368,RBTC,RSK Smart Bitcoin
369,ASD,ASD
370,ABBC,ABBC Coin
371,WRX,WazirX
372,ANY,Anyswap
373,LOCUS,Locus Chain
374,DEP,DEAPcoin
375,MAID,MaidSafeCoin
376,BTCST,Bitcoin Standard Hashrate Token
377,TLM,Alien Worlds
378,OXT,Orchid
379,MDX,Mdex
380,REV,Revain
381,STRAX,Stratis
382,DAR,Mines of Dalarnia
383,SUSD,sUSD
384,DAWN,Dawn Protocol
385,ALICE,MyNeighborAlice
386,QKC,QuarkChain
387,VTHO,VeThor Token
388,META,Metadium
389,UTK,Utrust
390,STRK,Strike
391,REEF,Reef
392,AMA,Mrweb Finance
393,ARK,Ark
394,PERP,Perpetual Protocol
395,UQC,Uquid Coin
396,HEDG,HedgeTrade
397,FWT,Freeway Token
398,RKN,Rakon
399,LQTY,Liquity
400,STPT,Standard Tokenization Protocol
401,ERG,Ergo
402,SSX,SOMESING
403,SUPER,SuperFarm
404,JOE,JOE
405,XWC,WhiteCoin
406,RGT,Rari Governance Token
407,WMT,World Mobile Token
408,BFC,Bifrost (BFC)
409,RIF,RSK Infrastructure Framework
410,AURORA,Aurora
411,GHST,Aavegotchi
412,MBL,MovieBloc
413,CFG,Centrifuge
414,LYXe,LUKSO
415,XVG,Verge
416,PRO,Propy
417,ALPHA,Alpha Venture DAO
418,HYN,Hyperion
419,ANT,Aragon
420,RLC,iExec RLC
421,HOO,Hoo Token
422,LOOM,Loom Network
423,DERO,Dero
424,SSV,ssv.network
425,PROM,Prometeus
426,SNL,Sport and Leisure
427,NKN,NKN
428,TLOS,Telos
429,BRG,Bridge Oracle
430,VERI,Veritaseum
431,NMR,Numeraire
432,ORC,Orbit Chain
433,CTK,Shentu
434,ACH,Alchemy Pay
435,RAD,Radicle
436,MBOX,MOBOX
437,OUSD,Origin Dollar
438,KLV,Klever
439,AGIX,SingularityNET
440,BOBA,Boba Network
441,ZEON,ZEON
442,BETA,Beta Finance
443,GTN,GlitzKoin
444,BADGER,Badger DAO
445,HI,HI
446,MV,GensoKishi Metaverse
447,BAKE,BakeryToken
448,HERO,Metahero
449,ADS,Adshares
450,YGG,Yield Guild Games
451,AMPL,Ampleforth
452,DKA,dKargo
453,XVS,Venus
454,CORE,cVault.finance
455,TOMO,TomoChain
456,IQ,Everipedia
457,BEL,Bella Protocol
458,ETN,Electroneum
459,CUSD,Celo Dollar
460,HUNT,HUNT
461,ZB,ZB Token
462,BAND,Band Protocol
463,DUSK,Dusk Network
464,KAI,KardiaChain
465,EXRD,e-Radix
466,TT,ThunderCore
467,JASMY,JasmyCoin
468,AERGO,Aergo
469,vBUSD,Venus BUSD
470,SAFEMOON,SafeMoon
471,MLN,Enzyme
472,LCX,LCX
473,VAI,Vai
474,SPS,Splintershards
475,DMCH,Darma Cash
476,ALEPH,Aleph.im
477,COCOS,Cocos-BCX
478,BAL,Balancer
479,ONUS,ONUS
480,MNGO,Mango
481,CENNZ,CENNZnet
482,MASK,Mask Network
483,H2O,H2O DAO
484,WOZX,Efforce
485,XPR,Proton
486,API3,API3
487,POLS,Polkastarter
488,CRTS,Cratos
489,NSBT,Neutrino Token
490,MFT,Hifi Finance
595,KAS,Kaspa
596,PEPE,Pepe
597,APT,Aptos
598,MNT,Mantle
599,ARB,Arbitrum
600,SUI,Sui
601,OP,Optimism
602,FDUSD,First Digital USD
603,TAO,Bittensor
604,NOT,Notcoin
605,BONK,Bonk
606,WIF,dogwifhat
607,BGB,Bitget Token
608,FLOKI,FLOKI
609,ONDO,Ondo
610,TIA,Celestia
611,BRETT,Brett (Based)
612,PYTH,Pyth Network
613,JUP,Jupiter
614,SEI,Sei
615,OM,MANTRA
616,FLR,Flare
617,AKT,Akash Network
618,BEAM,Beam
619,ENA,Ethena
620,ORDI,ORDI
621,RON,Ronin
622,MOG,Mog Coin
